date,product with quantity,price
10-03-2015,Aachi Garlic Tomato Thokku 300g,Rs.64.00
10-03-2015,Aachi Garlic Tomato Thokku 100g,Rs.20.00
10-03-2015,Aachi Gulab Jamun 200g,Rs.80.00
10-03-2015,Aachi Lemon Rice Paste 100g,Rs.20.00
10-03-2015,Aachi Nutri Malt - Health Drink Mix 500g,Rs.125.00
10-03-2015,Aachi Onion Rice Paste 100g,Rs.40.00
10-03-2015,Aachi Pudina Thokku 300g,Rs.65.00
10-03-2015,Aachi Pudina Thokku 100g,Rs.50.00
10-03-2015,Aachi Puliyodharai Rice Paste 300g,Rs.65.00
10-03-2015,Aachi Sathu Powder - Health Drink Mix 500g,Rs.150.00
10-03-2015,Aachi Sathu Powder - Health Drink Mix 200gm,Rs.80.00
10-03-2015,Aachi Tomato Rice Paste 300g,Rs.65.00
10-03-2015,Aachi Vatha Kulambu Paste 300g,Rs.65.00
10-03-2015,Aachi Vatha Kulambu Paste 100g,Rs.20.00
10-03-2015,Act II Instant Popcorn - Butter Delite 4x63g,Rs.120.00
10-03-2015,Act II Instant Popcorn - Butter Pepper 4x70g,Rs.120.00
10-03-2015,Act II Instant Popcorn - Chilli Surprise 40g x 4,Rs.40.00
10-03-2015,Act II Instant Popcorn - Classic Salted 105g,Rs.30.00
10-03-2015,Act II Instant Popcorn - Golden Sizzle 30g x4,Rs.40.00
10-03-2015,Act II Microwave Popcorn - Butter Flavour 33g,Rs.20.00
10-03-2015,Act II Microwave Popcorn - Natural 33g,Rs.20.00
10-03-2015,Act II Microwave popcorn Butter Lovers Flavours 33g,Rs.20.00
10-03-2015,Act II Popcorn - Tandoori Tadka 70g,Rs.30.00
10-03-2015,Alpenliebe - 2 CHOCO Eclair  210g,Rs.60.00
10-03-2015,Alpenliebe - Caramel 500g,Rs.100.00
10-03-2015,Alpenliebe - Eclairs 210g,Rs.50.00
10-03-2015,Alpenliebe - Juzt Jelly 499.5g,Rs.150.00
10-03-2015,Alpenliebe - Strawberry 500g,Rs.100.00
10-03-2015,Anil Ragi Vermicelli 180g,Rs.17.00
10-03-2015,Anil Vermicelli 450g,Rs.32.50
10-03-2015,Anil Vermicelli 180g,Rs.13.50
10-03-2015,Apple Cider Vinegar 500ml,Rs.150.00
10-03-2015,Bambino Vermicelli 400gm,Rs.32.00
10-03-2015,Barilla Penne Rigatte 500g,Rs.215.00
10-03-2015,Bingo! Tangles - Masala 90g x 2,Rs.40.00
10-03-2015,Bingo! Tangles - Salted 90g x 2,Rs.40.00
10-03-2015,Bingo! Yumitos - Intl Cream Onion 89g,Rs.30.00
10-03-2015,Bingo! Yumitos - Intl Cream Onion 59g x 2,Rs.40.00
10-03-2015,Bingo! Yumitos - Juicy Tom Ketchup 59g x 2,Rs.40.00
10-03-2015,Bingo! Yumitos - Masala Remix 59g x 2,Rs.40.00
10-03-2015,Bingo! Yumitos - Premium Salted 59g x 2,Rs.40.00
10-03-2015,Bingo! Yumitos - Premium Salted 89g,Rs.30.00
10-03-2015,Bingo! Yumitos - Red Chilli Bijli 59g x 2,Rs.40.00
10-03-2015,Bournville - Cranberry 80g,Rs.95.00
10-03-2015,Bournville - Raisin & Nut 80g,Rs.95.00
10-03-2015,Bournville - Rich Cocoa 80g,Rs.95.00
10-03-2015,Britannia 50-50 80g x 3,Rs.30.00
10-03-2015,Britannia Bourbon 75g x 3,Rs.30.00
10-03-2015,Britannia Little Hearts 44g x 3,Rs.30.00
10-03-2015,Britannia Marie Gold 100Gm x 3,Rs.30.00
10-03-2015,Britannia Marie Gold 150g x 2,Rs.30.00
10-03-2015,Britannia Marie Gold 250g,Rs.27.00
10-03-2015,Britannia Maska Chaska 55g x 3,Rs.30.00
10-03-2015,Britannia Milk Bikis 85g x 3,Rs.30.00
10-03-2015,Britannia Milk Bikis Milk Cream 100g x 2,Rs.40.00
10-03-2015,Britannia Nice Time 150g x 2,Rs.40.00
