date,product with quantity,price
11-03-2015,Ujala Floral Fusion Stiff & Shine Fabric Stiffener 100 gm,Rs. 21.00
11-03-2015,Rin Ala Fabric Whitener 500 ml,Rs. 50.00
11-03-2015,Rin Ala Fabric Whitener 200 ml,Rs. 24.00
11-03-2015,Ujala Supreme Fabric Whitener 250 ml,Rs. 54.00
11-03-2015,Garnier Fructis Long & Strong Strengthening Serum 100 ml,Rs. 210.00
11-03-2015,Vanish Shakti O2 Fabric Stain Remover 240 gm,Rs. 90.00
11-03-2015,Robin Cuffs'n Collars Stain Remover 200 ml,Rs. 50.00
11-03-2015,Vanish Liquid Chlorine-Free Expert Fabric Stain Remover 180 ml,Rs. 35.00
11-03-2015,Ariel Matic Front and Top Load Detergent Powder 1 kg,Rs. 230.00
11-03-2015,Ariel Complete Plus 24 Hour Fresh Detergent Powder 1 kg,Rs. 199.00
11-03-2015,Ariel Complete Plus Colour & Style Complete 1 Kg,Rs. 182.00
11-03-2015,Surf Excel Matic Front Load Detergent Powder 2 Kg,Rs. 453.00
11-03-2015,Surf Excel Matic Top Load Detergent Powder 2 kg,Rs. 406.00
11-03-2015,Surf Excel Matic Front Load Detergent Powder 1 kg,Rs. 230.00
11-03-2015,Surf Excel Easy Wash Detergent Powder 1.5 kg,Rs. 207.00
11-03-2015,Surf Excel Matic Top Load Detergent Powder 1 kg,Rs. 185.00
11-03-2015,Surf Excel Matic Front Load Detergent Powder 500 gm,Rs. 60.00
11-03-2015,Surf Excel Matic Top Load Detergent Powder 500 gm,Rs. 107.00
11-03-2015,Surf Excel Quickwash Detergent Powder 500 gm,Rs. 94.00
11-03-2015,Surf Excel Easy Wash Detergent Powder 700 gm,Rs. 77.00
11-03-2015,Surf Excel Quickwash Detergent Powder 200 gm,Rs. 38.00
11-03-2015,Surf Excel Easy Wash Detergent Powder 200 gm,Rs. 25.00
11-03-2015,Surf Excel Quickwash Detergent Powder 65 gm,Rs. 10.00
11-03-2015,Tide Plus Jasmine & Rose Detergent Powder 2 kg,Rs. 192.00
11-03-2015,Tide Plus Talcum Freshness Detergent Powder 2 Kg,Rs. 192.00
11-03-2015,Tide Plus Detergent Powder 2 kg,Rs. 192.00
11-03-2015,Tide Plus Jasmine & Rose Detergent Powder 1 kg,Rs. 95.00
11-03-2015,Tide Plus Talcum Freshness Detergent Powder 1 kg,Rs. 95.00
11-03-2015,Rin Detergent Powder 2 kg. Rs 9 Off,Rs. 163.00
11-03-2015,Rin Matic Washing Detergent Powder 1 kg,Rs. 115.00
11-03-2015,Rin Detergent Powder 1 kg,Rs. 75.00
11-03-2015,Rin Refresh Detergent Powder 500 gm,Rs. 44.00
11-03-2015,Rin Detergent Powder 500 gm,Rs. 44.00
11-03-2015,Surf Excel Detergent Liquid 1050 ml,Rs. 230.00
11-03-2015,Surf Excel Detergent Liquid 500 ml,Rs. 120.00
11-03-2015,Surf Excel Detergent Liquid 200 ml,Rs. 60.00
11-03-2015,Surf Excel Gentle Wash Liquid Detergent 200 ml,Rs. 50.00
11-03-2015,Genteel Liquid Detergent 500 gm,Rs. 99.00
11-03-2015,Harpic Flushmatic Aquamarine Toilet Tablet 2 X 50 gm,Rs. 95.00
11-03-2015,Harpic Flushmatic Aquamarine Toilet Tablet 50 gm,Rs. 52.00
11-03-2015,Harpic Hygienic Lavender Toilet Rim Block 26 gm,Rs. 52.00
11-03-2015,Harpic Flushmatic Pine Toilet Tablet 50 gm,Rs. 45.00
11-03-2015,Domex 2 in 1 Phenolic Cleaner Phenol 500 ml,Rs. 68.00
11-03-2015,Harpic Power Plus Rose Toilet Cleaner 1 lt,Rs. 125.00
11-03-2015,Harpic Power Plus Orange Toilet Cleaner 1 lt,Rs. 125.00
11-03-2015,Harpic Power Plus Original Toilet Cleaner 750 ml,Rs. 96.00
11-03-2015,Harpic Ultra Power Toilet Cleaner 450 ml,Rs. 74.00
11-03-2015,Harpic Fresh Pine Toilet Cleaner 500 ml,Rs. 68.00
11-03-2015,Harpic Fresh Citrus Toilet Cleaner 500 ml,Rs. 68.00
11-03-2015,Harpic Original Power Plus Toilet Cleaner 500 ml,Rs. 68.00
11-03-2015,Harpic Plus Bleach Toilet Cleaner 500 ml,Rs. 68.00
11-03-2015,Harpic Power Plus Rose Toilet Cleaner 500 ml,Rs. 68.00
11-03-2015,Harpic Power Plus Orange Toilet Cleaner 500 ml,Rs. 68.00
11-03-2015,Domex Original Toilet Cleaner 1 lt,Rs. 125.00
11-03-2015,Domex Lemon Explosion Toilet Cleaner 500 ml,Rs. 68.00
11-03-2015,Domex Zero Stain Fresh Power Toilet Cleaner 450 ml,Rs. 68.00
11-03-2015,Domex Zero Stain Lemon Power Toilet Cleaner 450 ml,Rs. 68.00
11-03-2015,Domex Zero Stain Pink Power Toilet Cleaner 450 ml,Rs. 68.00
11-03-2015,Surf Excel Power of Vinegar Blue Detergent Bar 400 gm,Rs. 46.00
11-03-2015,Surf Excel Detergent Bar 250 gm,Rs. 29.00
11-03-2015,Surf Excel Detergent Bar 250 gm. Save Rs 2,Rs. 27.00
11-03-2015,Surf Excel Detergent Bar 150 gm,Rs. 15.00
11-03-2015,Tide Detergent Bar 4 Soaps X 250 gm. Rs 3 Off,Rs. 69.00
11-03-2015,Rin Detergent Bar 250 gm,Rs. 14.00
11-03-2015,Henko Stain Champion Gentle Stain Removal Detergent Bar150 gm,Rs. 15.00
11-03-2015,Triple Power Detergent Bar Soap 275 gm,Rs. 17.00
11-03-2015,501 Detergent Bar Soap Cleaner Clean Whiter Whites 250 gm,Rs. 16.00
11-03-2015,Hi Power Detergent Cake 225 gm,Rs. 15.00
11-03-2015,Power Active Yellow Detergent Soap 170 gm,Rs. 10.00
11-03-2015,Power Active Blue Detergent Soap 170 gm,Rs. 10.00
11-03-2015,Power Active Pink Detergent Soap 170 gm,Rs. 10.00
