date,product with quantity,price
10-03-2015,Real Fruit Power Juice - Litchi 1 Ltr,Rs.99.00
10-03-2015,Real Fruit Power Juice - Mango 1 Ltr,Rs.99.00
10-03-2015,Real Fruit Power Juice - Mix Fruit 1 Ltr,Rs.95.00
10-03-2015,Real Fruit Power Juice - Orange 1 Ltr,Rs.99.00
10-03-2015,Real Fruit Power Juice - Pineapple 1 Ltr,Rs.92.00
10-03-2015,Real Fruit Power Juice - Pomgranate 1 Ltr,Rs.109.00
10-03-2015,Real Shakes - Banana Straberry 1Ltr,Rs.105.00
10-03-2015,Real Supa Fruits - Goji Berry & Guava 1 Ltr,Rs.115.00
10-03-2015,Real Supa Fruits - Strawberry & Plum 1Ltr,Rs.115.00
10-03-2015,Maltova - Refill 500g,Rs.186.00
10-03-2015,Tang Instant Drink Mix - Lemon Flavour 500g,Rs.110.00
10-03-2015,Tang Instant Drink Mix - Mango Flavour 500g,Rs.110.00
10-03-2015,Tang Instant Drink Mix - Orange Flavour 500g,Rs.110.00
10-03-2015,Limca - Soft Drink Lemon Flavour 600ml,Rs.33.00
10-03-2015,Viva - Jar 500g,Rs.191.00
10-03-2015,Viva - Refill 500g,Rs.199.00
10-03-2015,Mama's Best - Chocolate 400g,Rs.445.00
10-03-2015,Mama's Best - Vanilla 200g,Rs.240.00
10-03-2015,Acti Life - Chocolate 250g,Rs.160.00
10-03-2015,Acti Life - Coffee 250g,Rs.190.00
10-03-2015,Acti Life - Malt 250g,Rs.160.00
10-03-2015,Appy Fizz - Juice Drinks Tin 250ml,Rs.15.00
10-03-2015,Ensure - Chocolate 400g Refill,Rs.459.00
10-03-2015,Ensure - Vanilla 400g,Rs.449.00
10-03-2015,Himalaya Green Tea 20 Bags,Rs.95.00
10-03-2015,Himalaya Green Tea 10s Bag,Rs.49.00
